sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
D1_T3_R2	20	50	Up	D1	D5	T3	COI	R2	150	45	sample
D2_T3_R2	20	200	Up	D2	D6	T3	COI	R2	100	26.6	sample
D4_T3_R2	0	0	Up	D4		T3	COI	R2	500	33	sample
D5_T3_R2	20	50	Down	D5	D1	T3	COI	R2	500	22.2	sample
D6_T3_R2	20	200	Down	D6	D2	T3	COI	R2	250	45.6	sample
E1_T3_R2	30	100	Up	E1	E5	T3	COI	R2	250	30.6	sample
E2_T3_R2	0	200	Up	E2		T3	COI	R2	250	59.2	sample
E3_T3_R2	40	0	Up	E3	E7	T3	COI	R2	500	27.4	sample
E5_T3_R2	30	100	Down	E5	E1	T3	COI	R2	250	40.6	sample
E7_T3_R2	40	0	Down	E7	E3	T3	COI	R2	500	68.4	sample
F1_T3_R2	40	50	Up	F1	F5	T3	COI	R2	150	51.2	sample
F3_T3_R2	10	100	Up	F3	F7	T3	COI	R2	125	41.6	sample
F4_T3_R2	20	200	Up	F4	F8	T3	COI	R2	500	68.6	sample
F5_T3_R2	40	50	Down	F5	F1	T3	COI	R2	125	16.8	sample
F7_T3_R2	10	100	Down	F7	F3	T3	COI	R2	500	33	sample
F8_T3_R2	20	200	Down	F8	F4	T3	COI	R2	500	21.4	sample
G2_T3_R2	10	100	Up	G2	G6	T3	COI	R2	500	36.4	sample
G3_T3_R2	30	25	Up	G3	G7	T3	COI	R2	500	17.9	sample
G4_T3_R2	30	25	Up	G4	G8	T3	COI	R2	155	20.4	sample
G6_T3_R2	10	100	Down	G6	G2	T3	COI	R2	500	42.6	sample
G7_T3_R2	30	25	Down	G7	G3	T3	COI	R2	500	56.8	sample
G8_T3_R2	30	25	Down	G8	G4	T3	COI	R2	500	12	sample
H1_T3_R2	20	0	Up	H1	H5	T3	COI	R2	500	33.2	sample
H2_T3_R2	0	200	Up	H2		T3	COI	R2	500	61.4	sample
H4_T3_R2	20	50	Up	H4	H8	T3	COI	R2	100	42.2	sample
H5_T3_R2	20	0	Down	H5	H1	T3	COI	R2	500	30.8	sample
H8_T3_R2	20	50	Down	H8	H4	T3	COI	R2	250	4.94	sample
I2_T3_R2	10	25	Up	I2	I6	T3	COI	R2	500	27.4	sample
I5_T3_R2	0	0	Up	I5		T3	COI	R2	500	46.8	sample
I6_T3_R2	10	25	Down	I6	I2	T3	COI	R2	500	48.6	sample
Resv_T3_R2				Resv		T3	COI	R2	500	40.8	resv
Cont_T3_R2				Cont		T3	COI	R2	500	0.362	blank
A4_T4_R2	0	50	Up	A4		T4	COI	R2	250	77	sample
B1_T4_R2	40	0	Up	B1	B5	T4	COI	R2	500	47.6	sample
B2_T4_R2	10	25	Up	B2	B6	T4	COI	R2	500	33	sample
B3_T4_R2	30	100	Up	B3	B7	T4	COI	R2	250	39.6	sample
B4_T4_R2	40	200	Up	B4	B8	T4	COI	R2	250	8.5	sample
B5_T4_R2	40	0	Down	B5	B1	T4	COI	R2	500	24.6	sample
B6_T4_R2	10	25	Down	B6	B2	T4	COI	R2	500	32.4	sample
B7_T4_R2	30	100	Down	B7	B3	T4	COI	R2	250	26.2	sample
B8_T4_R2	40	200	Down	B8	B4	T4	COI	R2	500	26	sample
C1_T4_R2	0	0	Up	C1		T4	COI	R2	385	13.6	sample
C2_T4_R2	20	0	Up	C2	C6	T4	COI	R2	500	35.4	sample
C3_T4_R2	40	200	Up	C3	C7	T4	COI	R2	125	16.5	sample
C6_T4_R2	20	0	Down	C6	C2	T4	COI	R2	500	40.2	sample
C7_T4_R2	40	200	Down	C7	C3	T4	COI	R2	100	29	sample
D1_T4_R2	20	50	Up	D1	D5	T4	COI	R2	125	11.6	sample
D2_T4_R2	20	200	Up	D2	D6	T4	COI	R2	100	34.2	sample
D4_T4_R2	0	0	Up	D4		T4	COI	R2	500	15.2	sample
D5_T4_R2	20	50	Down	D5	D1	T4	COI	R2	150	16.4	sample
D6_T4_R2	20	200	Down	D6	D2	T4	COI	R2	250	33.2	sample
E1_T4_R2	30	100	Up	E1	E5	T4	COI	R2	125	23.8	sample
E2_T4_R2	0	200	Up	E2		T4	COI	R2	150	36.2	sample
E3_T4_R2	40	0	Up	E3	E7	T4	COI	R2	500	28.4	sample
E5_T4_R2	30	100	Down	E5	E1	T4	COI	R2	200	53.6	sample
E7_T4_R2	40	0	Down	E7	E3	T4	COI	R2	500	18.6	sample
F1_T4_R2	40	50	Up	F1	F5	T4	COI	R2	100	36.8	sample
F3_T4_R2	10	100	Up	F3	F7	T4	COI	R2	250	19.1	sample
F4_T4_R2	20	200	Up	F4	F8	T4	COI	R2	500	5.82	sample
