sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
B8_T4_R2	40	200	Down	B8	B4	T4	23S	R2	500	31.6	sample
C1_T4_R2	0	0	Up	C1		T4	23S	R2	385	13.7	sample
C2_T4_R2	20	0	Up	C2	C6	T4	23S	R2	500	52.8	sample
C3_T4_R2	40	200	Up	C3	C7	T4	23S	R2	125	43.2	sample
C6_T4_R2	20	0	Down	C6	C2	T4	23S	R2	500	102	sample
C7_T4_R2	40	200	Down	C7	C3	T4	23S	R2	100	3.12	sample
D1_T4_R2	20	50	Up	D1	D5	T4	23S	R2	125	37.2	sample
D2_T4_R2	20	200	Up	D2	D6	T4	23S	R2	100	58	sample
D4_T4_R2	0	0	Up	D4		T4	23S	R2	500	35.6	sample
D5_T4_R2	20	50	Down	D5	D1	T4	23S	R2	150	36.4	sample
D6_T4_R2	20	200	Down	D6	D2	T4	23S	R2	250	53.4	sample
E1_T4_R2	30	100	Up	E1	E5	T4	23S	R2	125	37	sample
E2_T4_R2	0	200	Up	E2		T4	23S	R2	150	63.2	sample
E3_T4_R2	40	0	Up	E3	E7	T4	23S	R2	500	23	sample
E5_T4_R2	30	100	Down	E5	E1	T4	23S	R2	200	42.8	sample
E7_T4_R2	40	0	Down	E7	E3	T4	23S	R2	500	33.8	sample
F1_T4_R2	40	50	Up	F1	F5	T4	23S	R2	100	80.6	sample
F3_T4_R2	10	100	Up	F3	F7	T4	23S	R2	250	34.8	sample
F4_T4_R2	20	200	Up	F4	F8	T4	23S	R2	500	3.52	sample
F5_T4_R2	40	50	Down	F5	F1	T4	23S	R2	250	76.8	sample
F7_T4_R2	10	100	Down	F7	F3	T4	23S	R2	500	55	sample
F8_T4_R2	20	200	Down	F8	F4	T4	23S	R2	250	32.2	sample
G1_T4_R2	40	50	Up	G1	G5	T4	23S	R2	200	56.2	sample
G2_T4_R2	10	100	Up	G2	G6	T4	23S	R2	500	46.4	sample
G3_T4_R2	30	25	Up	G3	G7	T4	23S	R2	500	45	sample
G4_T4_R2	30	25	Up	G4	G8	T4	23S	R2	125	53.6	sample
G6_T4_R2	10	100	Down	G6	G2	T4	23S	R2	500	37.6	sample
G7_T4_R2	30	25	Down	G7	G3	T4	23S	R2	500	36	sample
G8_T4_R2	30	25	Down	G8	G4	T4	23S	R2	500	106	sample
H1_T4_R2	20	0	Up	H1	H5	T4	23S	R2	500	42.6	sample
H2_T4_R2	0	200	Up	H2		T4	23S	R2	500	162	sample
H4_T4_R2	20	50	Up	H4	H8	T4	23S	R2	125	58.2	sample
H5_T4_R2	20	0	Down	H5	H1	T4	23S	R2	500	25.6	sample
H8_T4_R2	20	50	Down	H8	H4	T4	23S	R2	250	25.4	sample
I2_T4_R2	10	25	Up	I2	I6	T4	23S	R2	500	56.8	sample
I5_T4_R2	0	0	Up	I5		T4	23S	R2	500	25	sample
I6_T4_R2	10	25	Down	I6	I2	T4	23S	R2	500	18.8	sample
Resv_T4_R2				Resv		T4	23S	R2	500	26.4	resv
Cont_T4_R2				Cont		T4	23S	R2	500	0.382	blank
A4_T5_R2	0	50	Up	A4		T5	23S	R2	150	47.8	sample
B1_T5_R2	40	0	Up	B1	B5	T5	23S	R2	500	28.8	sample
B2_T5_R2	10	25	Up	B2	B6	T5	23S	R2	500	10.6	sample
B3_T5_R2	30	100	Up	B3	B7	T5	23S	R2	250	12	sample
B4_T5_R2	40	200	Up	B4	B8	T5	23S	R2	250	9.12	sample
B5_T5_R2	40	0	Down	B5	B1	T5	23S	R2	500	12.8	sample
B6_T5_R2	10	25	Down	B6	B2	T5	23S	R2	500	15.9	sample
