sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType			
G6_T5_R1	10	100	Down	G6	G2	T5	18S	R1	500	28.2	sample			
G7_T5_R1	30	25	Down	G7	G3	T5	18S	R1	500	40	sample			
G8_T5_R1	30	25	Down	G8	G4	T5	18S	R1	500	12.3	sample			
H1_T5_R1	20	0	Up	H1	H5	T5	18S	R1	500	22.2	sample			
H2_T5_R1	0	200	Up	H2		T5	18S	R1	500	26.4	sample			
H4_T5_R1	20	50	Up	H4	H8	T5	18S	R1	125	17.7	sample			
H5_T5_R1	20	0	Down	H5	H1	T5	18S	R1	500	21.6	sample			
H8_T5_R1	20	50	Down	H8	H4	T5	18S	R1	250	14.2	sample			
I2_T5_R1	10	25	Up	I2	I6	T5	18S	R1	500	26.6	sample			
I5_T5_R1	0	0	Up	I5		T5	18S	R1	300	16.9	sample			
I6_T5_R1	10	25	Down	I6	I2	T5	18S	R1	500	19.5	sample			
Resv_T5_R1				Resv		T5	18S	R1	500	27.4	resv			
Cont_T5_R1				Cont		T5	18S	R1	500	1.2	blank			
B4_T1_R1	40	200	Up	B4		T1	18S	R1	500	34.8	sample			
B5_T1_R1	40	0	Down	B5		T1	18S	R1	500	13.4	sample			
C1_T1_R1	0	0	Up	C1		T1	18S	R1	500	80	sample			
C2_T1_R1	20	0	Up	C2		T1	18S	R1	500	31.2	sample			
C3_T1_R1	40	200	Up	C3		T1	18S	R1	500	89.2	sample			
C6_T1_R1	20	0	Down	C6		T1	18S	R1	500	49.6	sample			
D2_T1_R1	20	200	Up	D2		T1	18S	R1	500	42.2	sample			
D4_T1_R1	0	0	Up	D4		T1	18S	R1	500	42.6	sample			
D6_T1_R1	20	200	Down	D6		T1	18S	R1	500	71.8	sample			
E1_T1_R1	30	100	Up	E1		T1	18S	R1	500	38.6	sample			
E2_T1_R1	0	200	Up	E2		T1	18S	R1	500	51.4	sample			
E5_T1_R1	30	100	Down	E5		T1	18S	R1	500	54.2	sample			
F5_T1_R1	40	50	Down	F5		T1	18S	R1	500	64	sample			
F7_T1_R1	10	100	Down	F7		T1	18S	R1	500	62.2	sample			
F8_T1_R1	20	200	Down	F8		T1	18S	R1	500	34	sample			
G1_T1_R1	40	50	Up	G1		T1	18S	R1	500	58.6	sample			
G4_T1_R1	30	25	Up	G4		T1	18S	R1	500	46	sample			
